Name,Description
Human,Versatile and ambitious people found in nearly every land and culture.
Elf,Graceful long-lived folk with keen senses and a strong tie to magic and nature.
Dwarf,Stout resilient people known for craftsmanship tradition and life beneath mountains.
Halfling,Small cheerful wanderers famed for luck hospitality and surprising bravery.
Gnome,Clever curious inventors and illusionists with boundless enthusiasm.
Half-Elf,Adaptable people who blend human drive with elven grace and insight.
Half-Orc,Powerful determined folk respected for their strength endurance and fierce loyalty.
Tiefling,People with infernal heritage often recognized by horns tails or unusual eyes.
Dragonborn,Proud draconic humanoids known for their breath weapon and strong honor code.
Tabaxi,Feline wanderers driven by curiosity storytelling and a love of discovery.
